,feature_importance
limit_bal,0.03628825059587149
gender,0.02636129402176406
education,0.029609977083393274
marriage,0.027654569117836213
age,0.032055098244594904
pay_stat_sep,0.13185151826933322
pay_stat_aug,0.05905657389744361
pay_stat_jul,0.04319992006145169
pay_stat_jun,0.03738218503051424
pay_stat_may,0.03841083149812703
pay_stat_apr,0.027772358825744598
bill_amt_sep,0.033765689332023084
bill_amt_aug,0.02807132811212833
bill_amt_jul,0.027423847837458392
bill_amt_jun,0.025938590008611536
bill_amt_may,0.02559767558487566
bill_amt_apr,0.026672546967380927
pay_amt_sep,0.04248885417093898
pay_amt_aug,0.03585560059481213
pay_amt_jul,0.03121246107562747
pay_amt_jun,0.03377081188346194
pay_amt_may,0.030059292724372907
pay_amt_apr,0.03589621437287335
pay_status_total,0.06551895262735064
total_bill_amount,0.034031622744938296
total_paid_amount,0.03405393531707207
