,feature_importance
limit_bal,0.01889665753637733
gender,0.014206411578882982
education,0.012709178350369785
marriage,0.01816907129458709
age,0.013575754885955683
pay_stat_sep,0.2126025688263641
pay_stat_aug,0.09727734363665758
pay_stat_jul,0.060942748535205225
pay_stat_jun,0.0438024215410771
pay_stat_may,0.03232023248741497
pay_stat_apr,0.020325432619241208
bill_amt_sep,0.016465984098010374
bill_amt_aug,0.016472735020067245
bill_amt_jul,0.012347926314577639
bill_amt_jun,0.011045073498599558
bill_amt_may,0.011323359226409462
bill_amt_apr,0.009923359366176129
pay_amt_sep,0.04204683071456116
pay_amt_aug,0.03759988114172527
pay_amt_jul,0.03416533276210952
pay_amt_jun,0.027592214806675577
pay_amt_may,0.018583009734333602
pay_amt_apr,0.02065084795759914
pay_status_total,0.11871171968498913
total_bill_amount,0.011940211119795686
total_paid_amount,0.0663036932622374
